Company,Year,PAT_Millions,PAT_Growth_%,Contribution_2024,Sector_Growth,Sector
Conoil,2016,2838,22.96360485268632,0.5373166867634784,-14.447675103022576,Manufacturing - Oil & Gas
Conoil,2017,1579,-44.36222692036645,0.5373166867634784,4.720651051962714,Manufacturing - Oil & Gas
Conoil,2018,1796,13.742875237492092,0.5373166867634784,1.007333300882654,Manufacturing - Oil & Gas
Conoil,2019,1972,9.799554565701564,0.5373166867634784,4.434217241456681,Manufacturing - Oil & Gas
Conoil,2020,1972,0.0,0.5373166867634784,-8.537970528816324,Manufacturing - Oil & Gas
Conoil,2021,1440,-26.97768762677485,0.5373166867634784,-7.787718716412889,Manufacturing - Oil & Gas
Conoil,2022,4958,244.30555555555557,0.5373166867634784,-18.164993609501682,Manufacturing - Oil & Gas
Conoil,2023,9868,99.0318676885841,0.5373166867634784,-2.844628747273607,Manufacturing - Oil & Gas
Conoil,2024,8774,-11.086339683826507,0.5373166867634784,4.845474703171504,Manufacturing - Oil & Gas
Dangote Cement,2016,142858,-6.794456913200064,30.818670009535012,-4.317635435953572,Manufacturing
Dangote Cement,2017,204248,42.97274216354703,30.818670009535012,-0.21160200144633465,Manufacturing
Dangote Cement,2018,390325,91.10346245740472,30.818670009535012,2.094063302167726,Manufacturing
Dangote Cement,2019,200521,-48.62716966630373,30.818670009535012,0.7669326004711147,Manufacturing
Dangote Cement,2020,276068,37.67535569840565,30.818670009535012,-2.7549363461976077,Manufacturing
Dangote Cement,2021,364439,32.01059159337554,30.818670009535012,3.348365018696782,Manufacturing
Dangote Cement,2022,382311,4.9039756996369865,30.818670009535012,2.447369049174555,Manufacturing
Dangote Cement,2023,455583,19.16554846708569,30.818670009535012,1.4046229714059337,Manufacturing
Dangote Cement,2024,503247,10.462198984597748,30.818670009535012,1.3841984255455058,Manufacturing
MTN,2016,95889,-219.4283223315481,,1.953583495656339,Information and Communication
MTN,2017,83512,-12.907632783739531,,-1.0409016478478434,Information and Communication
MTN,2018,148631,77.97562027014082,,9.6537521699995,Information and Communication
MTN,2019,205310,38.13403664107757,,9.17327357634958,Information and Communication
MTN,2020,205214,-0.0467585602260012,,13.181846253033939,Information and Communication
MTN,2021,298654,45.53295584121941,,6.547541398840201,Information and Communication
MTN,2022,348727,16.76622446041238,,9.761881256850764,Information and Communication
MTN,2023,-137021,-139.29176691222648,,7.911589202447473,Information and Communication
MTN,2024,-400435,192.24352471518964,,5.415701941945763,Information and Communication
Nestle Niger,2016,8,-66.66666666666667,,-4.317635435953572,Manufacturing
Nestle Niger,2017,34,325.0,,-0.21160200144633465,Manufacturing
Nestle Niger,2018,43,26.470588235294112,,2.094063302167726,Manufacturing
Nestle Niger,2019,46,6.976744186046502,,0.7669326004711147,Manufacturing
Nestle Niger,2020,39212,85143.47826086957,,-2.7549363461976077,Manufacturing
Nestle Niger,2021,40037,2.1039477710904864,,3.348365018696782,Manufacturing
Nestle Niger,2022,48965,22.299373079901088,,2.447369049174555,Manufacturing
Nestle Niger,2023,-79474,-262.30777085673435,,1.4046229714059337,Manufacturing
Nestle Niger,2024,-164595,107.10546845509224,,1.3841984255455058,Manufacturing
Okomu Oil,2016,4962,82.02494497432136,2.44701392405916,4.106746172323068,Agriculture - Agriculture
Okomu Oil,2017,9092,83.23256751309955,2.44701392405916,3.445211888160033,Agriculture - Agriculture
Okomu Oil,2018,8240,-9.370875494940613,2.44701392405916,2.1226028113425404,Agriculture - Agriculture
Okomu Oil,2019,5368,-34.85436893203884,2.44701392405916,2.362246238129334,Agriculture - Agriculture
Okomu Oil,2020,2942,-45.19374068554396,2.44701392405916,2.169392844620933,Agriculture - Agriculture
Okomu Oil,2021,11539,292.21617946974845,2.44701392405916,2.1268516351495177,Agriculture - Agriculture
Okomu Oil,2022,16231,40.66210243521968,2.44701392405916,1.8820076880336094,Agriculture - Agriculture
Okomu Oil,2023,20647,27.207196106216493,2.44701392405916,1.128367494226555,Agriculture - Agriculture
Okomu Oil,2024,39958,93.52932629437692,2.44701392405916,1.1881421567213872,Agriculture - Agriculture
Seplat Energy,2016,-16151,-18.826958838015784,8.867011364241801,-14.447675103022576,Manufacturing - Oil & Gas
Seplat Energy,2017,-45002,178.63290198749303,8.867011364241801,4.720651051962714,Manufacturing - Oil & Gas
Seplat Energy,2018,-65199,44.88022754544243,8.867011364241801,1.007333300882654,Manufacturing - Oil & Gas
Seplat Energy,2019,17652,-127.07403487783554,8.867011364241801,4.434217241456681,Manufacturing - Oil & Gas
Seplat Energy,2020,-85322,-583.35599365511,8.867011364241801,-8.537970528816324,Manufacturing - Oil & Gas
Seplat Energy,2021,117176,-237.33386465389933,8.867011364241801,-7.787718716412889,Manufacturing - Oil & Gas
Seplat Energy,2022,104706,-10.642111012494029,8.867011364241801,-18.164993609501682,Manufacturing - Oil & Gas
Seplat Energy,2023,123872,18.304586174622276,8.867011364241801,-2.844628747273607,Manufacturing - Oil & Gas
Seplat Energy,2024,144792,16.888400929992244,8.867011364241801,4.845474703171504,Manufacturing - Oil & Gas
Zenith Bank,2016,124252,17.592724037742634,57.32998801540055,-4.538097142949685,Financial and Insurance
Zenith Bank,2017,173791,39.8697807681164,57.32998801540055,1.2571830020464012,Financial and Insurance
Zenith Bank,2018,193424,11.296902601400529,57.32998801540055,2.029940216712127,Financial and Insurance
Zenith Bank,2019,208843,7.971606419058652,57.32998801540055,2.564213553639093,Financial and Insurance
Zenith Bank,2020,197852,-5.262805073667776,57.32998801540055,9.369580836479331,Financial and Insurance
