Company,Year,PAT_Millions,PAT_Growth_%,Contribution_2024
Conoil,2015,2308,,0.5373166867634784
Conoil,2016,2838,22.963604852686316,0.5373166867634784
Conoil,2017,1579,-44.36222692036645,0.5373166867634784
Conoil,2018,1796,13.742875237492092,0.5373166867634784
Conoil,2019,1972,9.799554565701563,0.5373166867634784
Conoil,2020,1972,0.0,0.5373166867634784
Conoil,2021,1440,-26.97768762677485,0.5373166867634784
Conoil,2022,4958,244.30555555555554,0.5373166867634784
Conoil,2023,9868,99.0318676885841,0.5373166867634784
Conoil,2024,8774,-11.086339683826507,0.5373166867634784
Dangote Cement,2015,153272,,30.818670009535015
Dangote Cement,2016,142858,-6.794456913200064,30.818670009535015
Dangote Cement,2017,204248,42.972742163547025,30.818670009535015
Dangote Cement,2018,390325,91.10346245740473,30.818670009535015
Dangote Cement,2019,200521,-48.62716966630373,30.818670009535015
Dangote Cement,2020,276068,37.67535569840565,30.818670009535015
Dangote Cement,2021,364439,32.01059159337554,30.818670009535015
Dangote Cement,2022,382311,4.9039756996369865,30.818670009535015
Dangote Cement,2023,455583,19.165548467085692,30.818670009535015
Dangote Cement,2024,503247,10.462198984597748,30.818670009535015
MTN,2015,-80290,,
MTN,2016,95889,-219.42832233154812,
MTN,2017,83512,-12.907632783739531,
MTN,2018,148631,77.97562027014082,
MTN,2019,205310,38.13403664107757,
MTN,2020,205214,-0.04675856022600122,
MTN,2021,298654,45.53295584121941,
MTN,2022,348727,16.76622446041238,
MTN,2023,-137021,-139.29176691222648,
MTN,2024,-400435,192.24352471518964,
Nestle Niger,2015,24,,
Nestle Niger,2016,8,-66.66666666666667,
Nestle Niger,2017,34,325.0,
Nestle Niger,2018,43,26.470588235294112,
Nestle Niger,2019,46,6.976744186046502,
Nestle Niger,2020,39212,85143.47826086957,
Nestle Niger,2021,40037,2.1039477710904864,
Nestle Niger,2022,48965,22.299373079901088,
Nestle Niger,2023,-79474,-262.30777085673435,
Nestle Niger,2024,-164595,107.10546845509224,
Okomu Oil,2015,2726,,2.44701392405916
Okomu Oil,2016,4962,82.02494497432136,2.44701392405916
Okomu Oil,2017,9092,83.23256751309955,2.44701392405916
Okomu Oil,2018,8240,-9.370875494940611,2.44701392405916
Okomu Oil,2019,5368,-34.85436893203884,2.44701392405916
Okomu Oil,2020,2942,-45.19374068554396,2.44701392405916
Okomu Oil,2021,11539,292.21617946974845,2.44701392405916
Okomu Oil,2022,16231,40.66210243521968,2.44701392405916
Okomu Oil,2023,20647,27.207196106216493,2.44701392405916
Okomu Oil,2024,39958,93.52932629437692,2.44701392405916
Seplat Energy,2015,-19897,,8.867011364241801
Seplat Energy,2016,-16151,-18.826958838015784,8.867011364241801
Seplat Energy,2017,-45002,178.63290198749303,8.867011364241801
Seplat Energy,2018,-65199,44.88022754544243,8.867011364241801
Seplat Energy,2019,17652,-127.07403487783554,8.867011364241801
Seplat Energy,2020,-85322,-583.35599365511,8.867011364241801
Seplat Energy,2021,117176,-237.33386465389935,8.867011364241801
Seplat Energy,2022,104706,-10.642111012494027,8.867011364241801
Seplat Energy,2023,123872,18.304586174622273,8.867011364241801
Seplat Energy,2024,144792,16.888400929992244,8.867011364241801
Zenith Bank,2015,105663,,57.329988015400545
Zenith Bank,2016,124252,17.592724037742634,57.329988015400545
Zenith Bank,2017,173791,39.8697807681164,57.329988015400545
Zenith Bank,2018,193424,11.296902601400527,57.329988015400545
Zenith Bank,2019,208843,7.971606419058652,57.329988015400545
Zenith Bank,2020,197852,-5.262805073667776,57.329988015400545
Zenith Bank,2021,233133,17.832015850231485,57.329988015400545
Zenith Bank,2022,234593,0.6262519677608935,57.329988015400545
Zenith Bank,2023,595601,153.8869446232411,57.329988015400545
Zenith Bank,2024,936158,57.17871528086755,57.329988015400545
